RawAbundance,sample,group
1040375.344,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
330922.5156,Abundance.F1.Sample.non.treated,non_treated
164733.5781,Abundance.F1.Sample.non.treated,non_treated
624867.1719,Abundance.F1.Sample.non.treated,non_treated
553876.1875,Abundance.F1.Sample.non.treated,non_treated
148966.3594,Abundance.F1.Sample.non.treated,non_treated
333355.1563,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
1781840.094,Abundance.F1.Sample.non.treated,non_treated
2229089.594,Abundance.F1.Sample.non.treated,non_treated
1096213.125,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
1448398.375,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
1857305.875,Abundance.F1.Sample.non.treated,non_treated
1055900.766,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
798468.2813,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
1151437.875,Abundance.F1.Sample.non.treated,non_treated
7828488.609,Abundance.F1.Sample.non.treated,non_treated
960668.625,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
783478.2031,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
5041662,Abundance.F1.Sample.non.treated,non_treated
1612932.828,Abundance.F1.Sample.non.treated,non_treated
402750.25,Abundance.F1.Sample.non.treated,non_treated
356300.0234,Abundance.F1.Sample.non.treated,non_treated
361362.1094,Abundance.F1.Sample.non.treated,non_treated
28252650.59,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
512240.3438,Abundance.F1.Sample.non.treated,non_treated
