RawAbundance,sample,group
,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
82189.46875,Abundance.F21.Sample.non.treated,non_treated
1249574.344,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
3985084.516,Abundance.F21.Sample.non.treated,non_treated
34633728,Abundance.F21.Sample.non.treated,non_treated
2274974.75,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
155317.1094,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
75580.8125,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
827320.125,Abundance.F21.Sample.non.treated,non_treated
39264.27344,Abundance.F21.Sample.non.treated,non_treated
1592697.867,Abundance.F21.Sample.non.treated,non_treated
258528.8672,Abundance.F21.Sample.non.treated,non_treated
65534.08203,Abundance.F21.Sample.non.treated,non_treated
76866.82031,Abundance.F21.Sample.non.treated,non_treated
997748.4375,Abundance.F21.Sample.non.treated,non_treated
686731.4688,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
1749133.5,Abundance.F21.Sample.non.treated,non_treated
1612211.125,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
139254.6563,Abundance.F21.Sample.non.treated,non_treated
777896.3672,Abundance.F21.Sample.non.treated,non_treated
8005158.297,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
1405673.5,Abundance.F21.Sample.non.treated,non_treated
2048389.625,Abundance.F21.Sample.non.treated,non_treated
2389416.625,Abundance.F21.Sample.non.treated,non_treated
95097.42188,Abundance.F21.Sample.non.treated,non_treated
151213.4531,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
1049078.523,Abundance.F21.Sample.non.treated,non_treated
1869036.641,Abundance.F21.Sample.non.treated,non_treated
339098.3047,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
