RawAbundance,sample,group
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
1597745.516,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
588625.125,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
714708.4375,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
114396.0313,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
,Abundance.F11.Sample.non.treated,non_treated
