RawAbundance,sample,group
,Abundance.F31.Sample.non.treated,non_treated
,Abundance.F31.Sample.non.treated,non_treated
,Abundance.F31.Sample.non.treated,non_treated
,Abundance.F31.Sample.non.treated,non_treated
,Abundance.F31.Sample.non.treated,non_treated
,Abundance.F31.Sample.non.treated,non_treated
,Abundance.F31.Sample.non.treated,non_treated
572781.0313,Abundance.F31.Sample.non.treated,non_treated
3942902.75,Abundance.F31.Sample.non.treated,non_treated
263822.1875,Abundance.F31.Sample.non.treated,non_treated
,Abundance.F31.Sample.non.treated,non_treated
,Abundance.F31.Sample.non.treated,non_treated
,Abundance.F31.Sample.non.treated,non_treated
,Abundance.F31.Sample.non.treated,non_treated
,Abundance.F31.Sample.non.treated,non_treated
,Abundance.F31.Sample.non.treated,non_treated
,Abundance.F31.Sample.non.treated,non_treated
,Abundance.F31.Sample.non.treated,non_treated
,Abundance.F31.Sample.non.treated,non_treated
,Abundance.F31.Sample.non.treated,non_treated
,Abundance.F31.Sample.non.treated,non_treated
,Abundance.F31.Sample.non.treated,non_treated
,Abundance.F31.Sample.non.treated,non_treated
,Abundance.F31.Sample.non.treated,non_treated
,Abundance.F31.Sample.non.treated,non_treated
,Abundance.F31.Sample.non.treated,non_treated
,Abundance.F31.Sample.non.treated,non_treated
,Abundance.F31.Sample.non.treated,non_treated
,Abundance.F31.Sample.non.treated,non_treated
,Abundance.F31.Sample.non.treated,non_treated
,Abundance.F31.Sample.non.treated,non_treated
,Abundance.F31.Sample.non.treated,non_treated
,Abundance.F31.Sample.non.treated,non_treated
,Abundance.F31.Sample.non.treated,non_treated
,Abundance.F31.Sample.non.treated,non_treated
,Abundance.F31.Sample.non.treated,non_treated
,Abundance.F31.Sample.non.treated,non_treated
,Abundance.F31.Sample.non.treated,non_treated
,Abundance.F31.Sample.non.treated,non_treated
,Abundance.F31.Sample.non.treated,non_treated
,Abundance.F31.Sample.non.treated,non_treated
,Abundance.F31.Sample.non.treated,non_treated
,Abundance.F31.Sample.non.treated,non_treated
,Abundance.F31.Sample.non.treated,non_treated
,Abundance.F31.Sample.non.treated,non_treated
,Abundance.F31.Sample.non.treated,non_treated
,Abundance.F31.Sample.non.treated,non_treated
,Abundance.F31.Sample.non.treated,non_treated
,Abundance.F31.Sample.non.treated,non_treated
,Abundance.F31.Sample.non.treated,non_treated
105590.9531,Abundance.F31.Sample.non.treated,non_treated
867580.8281,Abundance.F31.Sample.non.treated,non_treated
,Abundance.F31.Sample.non.treated,non_treated
,Abundance.F31.Sample.non.treated,non_treated
,Abundance.F31.Sample.non.treated,non_treated
,Abundance.F31.Sample.non.treated,non_treated
,Abundance.F31.Sample.non.treated,non_treated
,Abundance.F31.Sample.non.treated,non_treated
,Abundance.F31.Sample.non.treated,non_treated
,Abundance.F31.Sample.non.treated,non_treated
,Abundance.F31.Sample.non.treated,non_treated
,Abundance.F31.Sample.non.treated,non_treated
428187.4063,Abundance.F31.Sample.non.treated,non_treated
1511688.688,Abundance.F31.Sample.non.treated,non_treated
,Abundance.F31.Sample.non.treated,non_treated
,Abundance.F31.Sample.non.treated,non_treated
,Abundance.F31.Sample.non.treated,non_treated
,Abundance.F31.Sample.non.treated,non_treated
124523.0859,Abundance.F31.Sample.non.treated,non_treated
,Abundance.F31.Sample.non.treated,non_treated
